diseaseClasses_MSH,diseaseName,diseaseType,diseaseUMLSCUI,disease_inheritance,disease_prevalence_class,disease_prevalence_geo_area,disease_prevalence_type,geneNcbiID,geneNcbiType,geneProteinClassNames,score,symbolOfGene,MSH,MSH_normalised_name
[],"Radiation Injuries, Experimental",disease,C0034531,,,,,5595.0,protein-coding,[Kinase],0.4,MAPK3,D011833,"Radiation Injuries, Experimental"
[Cardiovascular Diseases (C14)],"Myocardial Diseases, Secondary",disease,C0036529,,,,,5595.0,protein-coding,[Kinase],0.4,MAPK3,D009202,Cardiomyopathies
[Urogenital Diseases (C12)],Female infertility,phenotype,C0021361,,,,,5595.0,protein-coding,[Kinase],0.4,MAPK3,D007247,"Infertility, Female"
[Digestive System Diseases (C06)],"Cholestasis, Extrahepatic",disease,C0005398,,,,,5595.0,protein-coding,[Kinase],0.4,MAPK3,D001651,"Cholestasis, Extrahepatic"
"[Infections (C01), Respiratory Tract Diseases (C08)]",Severe Acute Respiratory Syndrome,disease,C1175175,Not applicable,<1 / 1 000 000,Europe,Annual incidence,5595.0,protein-coding,[Kinase],0.4,MAPK3,D045169,Severe Acute Respiratory Syndrome
"[Infections (C01), Respiratory Tract Diseases (C08)]",Streptococcal pneumonia,disease,C0155862,,,,,5595.0,protein-coding,[Kinase],0.4,MAPK3,D011018,"Pneumonia, Pneumococcal"
"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]",Cocaine-Related Disorders,disease,C0236736,,,,,5595.0,protein-coding,[Kinase],0.4,MAPK3,D019970,Cocaine-Related Disorders
"[Pathological Conditions, Signs and Symptoms (C23), Neoplasms (C04)]",Neoplasm Invasiveness,phenotype,C0027626,,,,,5595.0,protein-coding,[Kinase],0.4,MAPK3,D009361,Neoplasm Invasiveness
"[Neoplasms (C04), Urogenital Diseases (C12)]",Kidney Neoplasm,disease,C0022665,,,,,5595.0,protein-coding,[Kinase],0.4,MAPK3,D007680,Kidney Neoplasms
"[Urogenital Diseases (C12), Neoplasms (C04)]",Prostatic Neoplasms,disease,C0033578,,,,,5595.0,protein-coding,[Kinase],0.4,MAPK3,D011471,Prostatic Neoplasms
"[Pathological Conditions, Signs and Symptoms (C23)]",Gliosis,phenotype,C0017639,,,,,5595.0,protein-coding,[Kinase],0.4,MAPK3,D005911,Gliosis
"[Nutritional and Metabolic Diseases (C18), Nervous System Diseases (C10), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)]",Adult Neuronal Ceroid Lipofuscinosis,disease,C0022797,,,,,5595.0,protein-coding,[Kinase],0.4,MAPK3,D009472,Neuronal Ceroid-Lipofuscinoses
"[Nutritional and Metabolic Diseases (C18), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Nervous System Diseases (C10)]",Neuronal Ceroid-Lipofuscinoses,disease,C0027877,"Autosomal dominant,Autosomal recessive","1-9 / 1 000 000,1-9 / 1 000 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000","Italy,Italy,Italy,Norway,Europe","Point prevalence,Annual incidence,Prevalence at birth,Prevalence at birth,Point prevalence",5595.0,protein-coding,[Kinase],0.4,MAPK3,D009472,Neuronal Ceroid-Lipofuscinoses
"[Nutritional and Metabolic Diseases (C18), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Nervous System Diseases (C10)]",Late-Infantile Neuronal Ceroid Lipofuscinosis,disease,C0022340,,,,,5595.0,protein-coding,[Kinase],0.4,MAPK3,D009472,Neuronal Ceroid-Lipofuscinoses
[Neoplasms (C04)],Malignant Squamous Cell Neoplasm,disease,C0751688,,,,,5595.0,protein-coding,[Kinase],0.4,MAPK3,D018307,"Neoplasms, Squamous Cell"
"[Pathological Conditions, Signs and Symptoms (C23)]",Atrophic,phenotype,C0333641,,,,,5595.0,protein-coding,[Kinase],0.4,MAPK3,D001284,Atrophy
[Neoplasms (C04)],Head and Neck Neoplasms,disease,C0018671,,,,,5595.0,protein-coding,[Kinase],0.4,MAPK3,D006258,Head and Neck Neoplasms
"[Endocrine System Diseases (C19), Digestive System Diseases (C06), Neoplasms (C04)]","Carcinoma, Pancreatic Ductal",disease,C0887833,,,,,5595.0,protein-coding,[Kinase],0.4,MAPK3,D021441,"Carcinoma, Pancreatic Ductal"
[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,,,,,6531.0,protein-coding,[Transporter],0.95,SLC6A3,D010300,Parkinson Disease
[Nervous System Diseases (C10)],"Parkinsonism-Dystonia, Infantile",disease,C2751067,Autosomal recessive,<1 / 1 000 000,Worldwide,Point prevalence,6531.0,protein-coding,[Transporter],0.95,SLC6A3,C567730,"Parkinsonism-Dystonia, Infantile"
[Mental Disorders (F03)],Schizophrenia,disease,C0036341,,,,,6531.0,protein-coding,[Transporter],0.9,SLC6A3,D012559,Schizophrenia
"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]","Alcoholic Intoxication, Chronic",disease,C0001973,,,,,6531.0,protein-coding,[Transporter],0.85,SLC6A3,D000437,Alcoholism
[Mental Disorders (F03)],Depressive disorder,disease,C0011581,,,,,6531.0,protein-coding,[Transporter],0.85,SLC6A3,D003866,Depressive Disorder
[Behavior and Behavior Mechanisms (F01)],Mental Depression,disease,C0011570,,,,,6531.0,protein-coding,[Transporter],0.85,SLC6A3,D003863,Depression
"[Nutritional and Metabolic Diseases (C18), Pathological Conditions, Signs and Symptoms (C23)]",Obesity,disease,C0028754,,,,,6531.0,protein-coding,[Transporter],0.8,SLC6A3,D009765,Obesity
"[Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10)]",Hyperkinesia,disease,C3887506,,,,,6531.0,protein-coding,[Transporter],0.8,SLC6A3,D006948,Hyperkinesis
[Mental Disorders (F03)],Bipolar Disorder,disease,C0005586,,,,,6531.0,protein-coding,[Transporter],0.75,SLC6A3,D001714,Bipolar Disorder
[Mental Disorders (F03)],Anxiety Disorders,disease,C0003469,,,,,6531.0,protein-coding,[Transporter],0.75,SLC6A3,D001008,Anxiety Disorders
[Mental Disorders (F03)],Attention Deficit Disorder,disease,C0041671,,,,,6531.0,protein-coding,[Transporter],0.75,SLC6A3,D001289,Attention Deficit Disorder with Hyperactivity
"[Pathological Conditions, Signs and Symptoms (C23)]",Nerve Degeneration,phenotype,C0027746,,,,,6531.0,protein-coding,[Transporter],0.75,SLC6A3,D009410,Nerve Degeneration
"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]",Cocaine dependence,disease,C0600427,,,,,6531.0,protein-coding,[Transporter],0.75,SLC6A3,D019970,Cocaine-Related Disorders
[Nervous System Diseases (C10)],nervous system disorder,disease,C0027765,,,,,6531.0,protein-coding,[Transporter],0.75,SLC6A3,D009422,Nervous System Diseases
"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]",Alcohol abuse,disease,C0085762,,,,,6531.0,protein-coding,[Transporter],0.7,SLC6A3,D000437,Alcoholism
"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]",Nicotine Dependence,disease,C0028043,,,,,6531.0,protein-coding,[Transporter],0.7,SLC6A3,D014029,Tobacco Use Disorder
[Mental Disorders (F03)],Mood Disorders,disease,C0525045,,,,,6531.0,protein-coding,[Transporter],0.65,SLC6A3,D019964,Mood Disorders
"[Mental Disorders (F03), Nervous System Diseases (C10)]",Tic disorder,disease,C0040188,,,,,6531.0,protein-coding,[Transporter],0.65,SLC6A3,D013981,Tic Disorders
[Mental Disorders (F03)],Mild cognitive disorder,disease,C1270972,,,,,6531.0,protein-coding,[Transporter],0.65,SLC6A3,D060825,Cognitive Dysfunction
"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]",Cocaine abuse,disease,C0009171,,,,,6531.0,protein-coding,[Transporter],0.65,SLC6A3,D019970,Cocaine-Related Disorders
"[Skin and Connective Tissue Diseases (C17), Neoplasms (C04)]",Malignant neoplasm of breast,disease,C0006142,,,,,6531.0,protein-coding,[Transporter],0.65,SLC6A3,D001943,Breast Neoplasms
"[Mental Disorders (F03), Chemically-Induced Disorders (C25), Nervous System Diseases (C10)]",Alcohol Withdrawal Delirium,disease,C0001957,,,,,6531.0,protein-coding,[Transporter],0.6,SLC6A3,D000430,Alcohol Withdrawal Delirium
"[Mental Disorders (F03), Behavior and Behavior Mechanisms (F01), Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10)]",Delirium,disease,C0011206,,,,,6531.0,protein-coding,[Transporter],0.6,SLC6A3,D003693,Delirium
"[Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10), Chemically-Induced Disorders (C25)]",Alcohol Withdrawal Seizures,disease,C0586323,,,,,6531.0,protein-coding,[Transporter],0.6,SLC6A3,D020270,Alcohol Withdrawal Seizures
"[Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10), Mental Disorders (F03)]",Dyslexia,disease,C0476254,,,,,6531.0,protein-coding,[Transporter],0.6,SLC6A3,D004410,Dyslexia
"[Behavior and Behavior Mechanisms (F01), Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Anhedonia,disease,C0178417,,,,,6531.0,protein-coding,[Transporter],0.55,SLC6A3,D059445,Anhedonia
[Mental Disorders (F03)],Paranoia,disease,C1456784,,,,,6531.0,protein-coding,[Transporter],0.5,SLC6A3,D010259,Paranoid Disorders
"[Nervous System Diseases (C10), Behavior and Behavior Mechanisms (F01), Pathological Conditions, Signs and Symptoms (C23)]",Memory Disorders,disease,C0025261,,,,,6531.0,protein-coding,[Transporter],0.5,SLC6A3,D008569,Memory Disorders
"[Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Limb dystonia,phenotype,C0751093,,,,,6531.0,protein-coding,[Transporter],0.45,SLC6A3,D004421,Dystonia
"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]",Cocaine-Related Disorders,disease,C0236736,,,,,6531.0,protein-coding,[Transporter],0.4,SLC6A3,D019970,Cocaine-Related Disorders
"[Pathological Conditions, Signs and Symptoms (C23)]",Difficulty walking,phenotype,C0311394,,,,,6531.0,protein-coding,[Transporter],0.4,SLC6A3,D051346,Mobility Limitation
"[Otorhinolaryngologic Diseases (C09), Digestive System Diseases (C06)]",Deglutition Disorders,disease,C0011168,,,,,6531.0,protein-coding,[Transporter],0.4,SLC6A3,D003680,Deglutition Disorders
[Mental Disorders (F03)],Schizophrenia,disease,C0036341,,,,,1813.0,protein-coding,[G-protein coupled receptor],1.0,DRD2,D012559,Schizophrenia
"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]","Alcoholic Intoxication, Chronic",disease,C0001973,,,,,1813.0,protein-coding,[G-protein coupled receptor],1.0,DRD2,D000437,Alcoholism
"[Nutritional and Metabolic Diseases (C18), Pathological Conditions, Signs and Symptoms (C23)]",Obesity,disease,C0028754,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.95,DRD2,D009765,Obesity
"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]",Heroin Dependence,disease,C0019337,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.95,DRD2,D006556,Heroin Dependence
[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.9,DRD2,D010300,Parkinson Disease
[Mental Disorders (F03)],Depressive disorder,disease,C0011581,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.9,DRD2,D003866,Depressive Disorder
[Mental Disorders (F03)],Bipolar Disorder,disease,C0005586,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.9,DRD2,D001714,Bipolar Disorder
"[Nutritional and Metabolic Diseases (C18), Endocrine System Diseases (C19)]","Diabetes Mellitus, Non-Insulin-Dependent",disease,C0011860,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.9,DRD2,D003924,"Diabetes Mellitus, Type 2"
[Behavior and Behavior Mechanisms (F01)],Mental Depression,disease,C0011570,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.85,DRD2,D003863,Depression
[Mental Disorders (F03)],Anxiety Disorders,disease,C0003469,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.85,DRD2,D001008,Anxiety Disorders
"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]",Nicotine Dependence,disease,C0028043,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.85,DRD2,D014029,Tobacco Use Disorder
"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]",Cocaine dependence,disease,C0600427,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.85,DRD2,D019970,Cocaine-Related Disorders
[Nervous System Diseases (C10)],Movement Disorders,disease,C0026650,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.85,DRD2,D009069,Movement Disorders
"[Nervous System Diseases (C10), Endocrine System Diseases (C19), Neoplasms (C04)]",Pituitary Neoplasms,disease,C0032019,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.85,DRD2,D010911,Pituitary Neoplasms
[Cardiovascular Diseases (C14)],Hypertensive disease,disease,C0020538,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.85,DRD2,D006973,Hypertension
[Nervous System Diseases (C10)],Parkinsonian Disorders,disease,C0242422,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.8,DRD2,D020734,Parkinsonian Disorders
[Mental Disorders (F03)],Major Depressive Disorder,disease,C1269683,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.8,DRD2,D003865,"Depressive Disorder, Major"
"[Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Dystonia,phenotype,C0013421,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.8,DRD2,D004421,Dystonia
[Mental Disorders (F03)],Mood Disorders,disease,C0525045,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.8,DRD2,D019964,Mood Disorders
"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]",Opiate Addiction,disease,C0524662,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.8,DRD2,D009293,Opioid-Related Disorders
"[Endocrine System Diseases (C19), Nervous System Diseases (C10)]",Hyperprolactinemia,disease,C0020514,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.75,DRD2,D006966,Hyperprolactinemia
[Mental Disorders (F03)],Unipolar Depression,disease,C0041696,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.75,DRD2,D003866,Depressive Disorder
"[Pathological Conditions, Signs and Symptoms (C23), Psychological Phenomena (F02)]",Pain,phenotype,C0030193,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.75,DRD2,D010146,Pain
"[Pathological Conditions, Signs and Symptoms (C23)]",Weight Gain,phenotype,C0043094,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.75,DRD2,D015430,Weight Gain
[Nervous System Diseases (C10)],Myoclonic dystonia,disease,C1834570,"Autosomal dominant,Not applicable",1-9 / 1 000 000,Europe,Point prevalence,1813.0,protein-coding,[G-protein coupled receptor],0.75,DRD2,C536096,Myoclonic dystonia
"[Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Dyskinetic syndrome,disease,C0013384,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.75,DRD2,D020820,Dyskinesias
"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]",Alcohol abuse,disease,C0085762,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.75,DRD2,D000437,Alcoholism
"[Pathological Conditions, Signs and Symptoms (C23), Cardiovascular Diseases (C14)]",Tachycardia,phenotype,C0039231,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.7,DRD2,D013610,Tachycardia
"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]",Cocaine abuse,disease,C0009171,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.65,DRD2,D019970,Cocaine-Related Disorders
"[Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Catalepsy,disease,C0007370,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.65,DRD2,D002375,Catalepsy
[Nervous System Diseases (C10)],Migraine with Aura,disease,C0154723,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.65,DRD2,D020325,Migraine with Aura
"[Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10)]",Hyperkinesia,disease,C3887506,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.65,DRD2,D006948,Hyperkinesis
"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]",Cannabis Dependence,disease,C0006870,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.65,DRD2,D002189,Marijuana Abuse
"[Behavior and Behavior Mechanisms (F01), Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Anhedonia,disease,C0178417,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.65,DRD2,D059445,Anhedonia
[Mental Disorders (F03)],"Disruptive, Impulse Control, and Conduct Disorders",disease,C0021122,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.6,DRD2,D007174,"Disruptive, Impulse Control, and Conduct Disorders"
[Mental Disorders (F03)],Attention Deficit Disorder,disease,C0041671,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.6,DRD2,D001289,Attention Deficit Disorder with Hyperactivity
"[Mental Disorders (F03), Behavior and Behavior Mechanisms (F01), Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10)]",Delirium,disease,C0011206,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.6,DRD2,D003693,Delirium
"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]",Marijuana Abuse,disease,C0024809,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.6,DRD2,D002189,Marijuana Abuse
[Nervous System Diseases (C10)],Basal Ganglia Diseases,disease,C0004782,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.55,DRD2,D001480,Basal Ganglia Diseases
[Cardiovascular Diseases (C14)],Hypotension,phenotype,C0020649,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.55,DRD2,D007022,Hypotension
"[Cardiovascular Diseases (C14), Pathological Conditions, Signs and Symptoms (C23)]",Bradycardia,phenotype,C0428977,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.55,DRD2,D001919,Bradycardia
"[Urogenital Diseases (C12), Pathological Conditions, Signs and Symptoms (C23)]","Kidney Failure, Chronic",disease,C0022661,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.55,DRD2,D007676,"Kidney Failure, Chronic"
"[Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Language Disorders,disease,C0023015,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.5,DRD2,D007806,Language Disorders
"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]",Cocaine-Related Disorders,disease,C0236736,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.45,DRD2,D019970,Cocaine-Related Disorders
"[Chemically-Induced Disorders (C25), Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]","Dyskinesia, Drug-Induced",disease,C0013386,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.45,DRD2,D004409,"Dyskinesia, Drug-Induced"
"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]",Substance-Related Disorders,disease,C0236969,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.45,DRD2,D019966,Substance-Related Disorders
"[Skin and Connective Tissue Diseases (C17), Urogenital Diseases (C12)]",Chiari-Frommel Syndrome,disease,C0008043,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.4,DRD2,D002640,Chiari-Frommel Syndrome
[Mental Disorders (F03)],Developmental Disabilities,disease,C0008073,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.4,DRD2,D002658,Developmental Disabilities
"[Nervous System Diseases (C10), Behavior and Behavior Mechanisms (F01), Pathological Conditions, Signs and Symptoms (C23)]",Memory Disorders,disease,C0025261,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.4,DRD2,D008569,Memory Disorders
[Mental Disorders (F03)],"Delirium, Dementia, Amnestic, Cognitive Disorders",disease,C0029227,,,,,1813.0,protein-coding,[G-protein coupled receptor],0.4,DRD2,D019965,Neurocognitive Disorders
"[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Neoplasms (C04), Musculoskeletal Diseases (C05)]",Proteus Syndrome,disease,C0085261,Not applicable,"<1 / 1 000 000,<1 / 1 000 000","Europe,Europe","Prevalence at birth,Point prevalence",207.0,protein-coding,[Kinase],1.0,AKT1,D016715,Proteus Syndrome
"[Endocrine System Diseases (C19), Urogenital Diseases (C12), Neoplasms (C04)]",ovarian neoplasm,disease,C0919267,,,,,207.0,protein-coding,[Kinase],1.0,AKT1,D010051,Ovarian Neoplasms
"[Skin and Connective Tissue Diseases (C17), Neoplasms (C04)]",Malignant neoplasm of breast,disease,C0006142,,,,,207.0,protein-coding,[Kinase],0.95,AKT1,D001943,Breast Neoplasms
"[Nutritional and Metabolic Diseases (C18), Endocrine System Diseases (C19)]","Diabetes Mellitus, Non-Insulin-Dependent",disease,C0011860,,,,,207.0,protein-coding,[Kinase],0.9,AKT1,D003924,"Diabetes Mellitus, Type 2"
"[Skin and Connective Tissue Diseases (C17), Neoplasms (C04)]",Mammary Neoplasms,disease,C1458155,,,,,207.0,protein-coding,[Kinase],0.9,AKT1,D001943,Breast Neoplasms
"[Endocrine System Diseases (C19), Urogenital Diseases (C12), Neoplasms (C04)]",Malignant neoplasm of ovary,disease,C1140680,,1-5 / 10 000,Europe,Point prevalence,207.0,protein-coding,[Kinase],0.9,AKT1,D010051,Ovarian Neoplasms
[Mental Disorders (F03)],Schizophrenia,disease,C0036341,,,,,207.0,protein-coding,[Kinase],0.85,AKT1,D012559,Schizophrenia
"[Neoplasms (C04), Nervous System Diseases (C10)]",Meningioma,disease,C0025286,Not applicable,"1-9 / 100 000,1-9 / 100 000","Germany,United States","Annual incidence,Annual incidence",207.0,protein-coding,[Kinase],0.85,AKT1,D008579,Meningioma
"[Nutritional and Metabolic Diseases (C18), Pathological Conditions, Signs and Symptoms (C23)]",Obesity,disease,C0028754,,,,,207.0,protein-coding,[Kinase],0.85,AKT1,D009765,Obesity
[Mental Disorders (F03)],Bipolar Disorder,disease,C0005586,,,,,207.0,protein-coding,[Kinase],0.8,AKT1,D001714,Bipolar Disorder
"[Digestive System Diseases (C06), Neoplasms (C04)]",Malignant tumor of colon,disease,C0007102,,,,,207.0,protein-coding,[Kinase],0.8,AKT1,D003110,Colonic Neoplasms
"[Pathological Conditions, Signs and Symptoms (C23)]",Inflammation,phenotype,C0021368,,,,,207.0,protein-coding,[Kinase],0.8,AKT1,D007249,Inflammation
"[Urogenital Diseases (C12), Neoplasms (C04)]",Prostatic Neoplasms,disease,C0033578,,,,,207.0,protein-coding,[Kinase],0.8,AKT1,D011471,Prostatic Neoplasms
[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,,,,,207.0,protein-coding,[Kinase],0.8,AKT1,D010300,Parkinson Disease
"[Neoplasms (C04), Respiratory Tract Diseases (C08)]",Lung Neoplasms,disease,C0024121,,,,,207.0,protein-coding,[Kinase],0.8,AKT1,D008175,Lung Neoplasms
"[Neoplasms (C04), Urogenital Diseases (C12)]",Malignant neoplasm of prostate,disease,C0376358,,,,,207.0,protein-coding,[Kinase],0.75,AKT1,D011471,Prostatic Neoplasms
"[Neoplasms (C04), Digestive System Diseases (C06)]",Liver carcinoma,disease,C2239176,Not applicable,"1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,6-9 / 10 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000","United States,Europe,France,United Kingdom,Germany,Spain,Italy,Greece,Canada,Oceania,Latin America,China,Japan,Korea, Republic of,Mongolia,Africa,Europe,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Estonia,Finland,Iceland,Ireland,Latvia,Lithuania,Norway,Poland,Portugal,Slovakia,Switzerland,Netherlands","Annual incidence,Point prevalence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence",207.0,protein-coding,[Kinase],0.75,AKT1,D006528,"Carcinoma, Hepatocellular"
"[Pathological Conditions, Signs and Symptoms (C23), Neoplasms (C04)]",Carcinogenesis,disease,C0596263,,,,,207.0,protein-coding,[Kinase],0.75,AKT1,D063646,Carcinogenesis
[Neoplasms (C04)],Adenocarcinoma of lung (disorder),disease,C0152013,,,,,207.0,protein-coding,[Kinase],0.75,AKT1,D000077192,Adenocarcinoma of Lung
[Mental Disorders (F03)],Depressive disorder,disease,C0011581,,,,,207.0,protein-coding,[Kinase],0.75,AKT1,D003866,Depressive Disorder
[Neoplasms (C04)],Squamous cell carcinoma,disease,C0007137,,,,,207.0,protein-coding,[Kinase],0.75,AKT1,D002294,"Carcinoma, Squamous Cell"
[Behavior and Behavior Mechanisms (F01)],Mental Depression,disease,C0011570,,,,,207.0,protein-coding,[Kinase],0.75,AKT1,D003863,Depression
[Neoplasms (C04)],Squamous cell carcinoma of the head and neck,disease,C1168401,,,,,207.0,protein-coding,[Kinase],0.7,AKT1,D000077195,Squamous Cell Carcinoma of Head and Neck
"[Urogenital Diseases (C12), Neoplasms (C04)]",Malignant neoplasm of urinary bladder,disease,C0005684,,,,,207.0,protein-coding,[Kinase],0.7,AKT1,D001749,Urinary Bladder Neoplasms
[Neoplasms (C04)],Adenocarcinoma,disease,C0001418,,,,,207.0,protein-coding,[Kinase],0.7,AKT1,D000230,Adenocarcinoma
[Nervous System Diseases (C10)],Epilepsy,disease,C0014544,,,,,207.0,protein-coding,[Kinase],0.7,AKT1,D004827,Epilepsy
[Digestive System Diseases (C06)],Non-alcoholic Fatty Liver Disease,disease,C0400966,,,,,207.0,protein-coding,[Kinase],0.7,AKT1,D065626,Non-alcoholic Fatty Liver Disease
"[Digestive System Diseases (C06), Neoplasms (C04)]",Colorectal Neoplasms,disease,C0009404,,,,,207.0,protein-coding,[Kinase],0.7,AKT1,D015179,Colorectal Neoplasms
"[Skin and Connective Tissue Diseases (C17), Neoplasms (C04)]",Skin Neoplasms,disease,C0037286,,,,,207.0,protein-coding,[Kinase],0.7,AKT1,D012878,Skin Neoplasms
"[Pathological Conditions, Signs and Symptoms (C23), Hemic and Lymphatic Diseases (C15), Neoplasms (C04)]",Philadelphia chromosome positive chronic myelogenous leukemia,disease,C0279543,Not applicable,"1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000","Europe,France,Europe,Europe,United States","Annual incidence,Annual incidence,Point prevalence,Lifetime Prevalence,Annual incidence",207.0,protein-coding,[Kinase],0.65,AKT1,D015464,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
"[Pathological Conditions, Signs and Symptoms (C23)]",Hyperplasia,phenotype,C0020507,,,,,207.0,protein-coding,[Kinase],0.65,AKT1,D006965,Hyperplasia
