CUI,MSH
C0155533,D014012
C0155534,D014012
C0155015,D003117
C0155016,D003117
C0155017,D003117
C0155675,C562404
C0152066,D060368
C0152087,D000070657
C0155862,D011018
C0152112,D009901
C0152115,D020820
C0152151,D059286
C0152179,D020421
C0152203,D013285
C0152209,C000721272
C0152217,D005099
C0152222,D015835
C0155344,D015835
C0152255,D059407
C0155930,D020254
C0155380,D009759
C0152415,D000072676
C0155552,D046089
C0153166,C536775
C0153259,D000098525
C0155866,C571912
C0155889,D005203
C0152423,D065817
C0156372,D006175
C0158266,D055959
C0153188,C536774
C0158329,D053682
C0153381,D009062
C0153392,D009303
C0153246,C000656824
C0153349,D014062
C0153405,D010610
C0153427,D007580
C0153452,D005706
C0158322,D036982
C0153594,D013736
C0153633,D001932
C0158761,C562408
C0158353,D009220
C0158454,D017759
C0158945,D003586
C0159970,D031221
C0158731,D066166
C0154034,D013120
C0154084,D000071960
C0162292,D009886
C0154251,D052439
C0154681,D016472
C0158982,D020941
C0159849,D000092462
C0154694,D006429
C0154695,D002547
C0154697,D002547
C0154698,D002547
C0154723,D020325
C0154769,D000081030
C0162423,D008883
C0162475,D014096
C0162510,D016767
C0162533,D017094
C0153619,D014516
C0155120,C562399
C0155197,D000092164
C0155211,C562400
C0155288,D010211
C0155299,C535970
C0162568,D046351
C0155303,D000081028
C0155339,D015835
C0155490,D018424
C0162625,D017190
C0162635,D017204
C0162636,D017205
C0162637,D017206
C0162644,D017213
C0155502,D065635
C0162275,D007662
C0162311,D000505
C0156273,C562406
C0156404,D008599
C0162666,D017237
C0154333,D003693
C0162362,D004579
C0162442,D010267
C0162451,D011040
C0162494,D015597
C0162504,D016575
C0162531,D046349
C0162534,D017096
C0162539,D017099
C0162550,D017109
C0162557,D017114
C0162566,D017119
C0154682,D016472
C0157743,D000094482
C0158252,C535531
C0154731,D020435
C0154743,D020424
C0162672,D017243
C0158360,D000071380
C0158364,D000070630
C0154884,D000080363
C0162569,D017121
C0155002,D001766
C0155018,D003117
C0162674,D017246
C0162700,D017282
C0162735,D017354
C0162770,D017380
C0162624,D017189
C0162626,D017191
C0162633,D017201
C0162818,D017444
C0162823,D017453
C0162824,D017454
C0155199,D000092164
C0162699,D017282
C0162739,D017359
C0162766,D017368
C0162809,D017436
C0162830,D017484
C0162834,D017495
C0162838,D017499
C0162839,D017499
C0158683,C536330
C0162849,D017513
C0162869,D017542
C0162852,D017514
C0162871,D017544
C0175701,C535331
C0175713,D058540
C0155300,C562401
C0155305,D018917
C0175691,C535718
C0175694,D019082
C0175699,D000168
C0155320,D019575
C0159877,D064386
C0162283,D018500
C0162296,D018771
C0162323,D001168
C0162473,D013547
C0162499,D016113
C0162526,D017088
C0162527,D017089
C0162529,D017091
C0184567,D059787
C0162565,D017118
C0162608,D017169
C0162627,D017192
C0162629,D017194
C0162669,D017240
C0162670,D017240
C0162671,D017241
C0205339,D000084063
C0205643,D000230
C0205671,D001117
C0175703,C536940
C0162677,D017250
C0162678,D017253
C0162703,D017288
C0162760,D017368
C0162761,D017368
C0162773,D017384
C0162812,D017441
C0162819,D017445
C0162835,D017496
C0162846,D017510
C0162848,D017512
C0162853,D017514
C0162872,D017545
C0175167,D017486
C0175693,D056730
C0175702,D018980
C0175755,C562989
C0175816,D000744
C0178417,D059445
C0205646,D000236
C0205649,D000236
C0205651,D000236
C0205695,D002276
C0205697,D002277
C0205713,D002607
C0205730,D003811
C0205734,D003922
C0205740,D004216
C0205748,D004416
C0205816,D007890
C0205824,D008080
C0205833,D008527
C0205852,D009373
C0205856,D009464
C0175754,D061085
C0155536,D006311
C0155550,D012181
C0205858,D009494
C0205866,D009810
C0205875,D010212
C0205938,D001261
C0206044,D017250
C0206051,D017454
C0206064,D017566
C0206073,D017579
C0206081,D017588
C0205710,D002549
C0175756,C536237
C0205792,D006547
C0205815,D007890
C0205834,D008579
C0178782,D005157
C0155843,D017703
C0205255,D000097787
C0205945,D012509
C0205644,D000230
C0205711,D020371
C0205747,D004416
C0205765,D005348
C0205766,D005350
C0205789,D006391
C0205822,D008067
C0205825,D008080
C0205851,D009373
C0205854,D009375
C0205865,D009810
C0206019,D015526
C0206067,D017573
C0206068,D017574
C0155912,C562405
C0206042,D034062
C0206061,D017563
C0156147,D003424
C0206094,D017600
C0206143,D017681
C0206171,D017714
C0206178,D017726
C0206180,D017728
C0206247,D017772
C0206277,D017809
C0206093,D017599
C0206114,D017622
C0206115,D017624
C0206139,D017676
C0206157,D017696
C0206186,D017733
C0206239,D020430
C0206260,D017789
C0206138,D017675
C0206146,D017682
C0158300,D002062
C0158328,D052582
C0206160,D045262
C0206177,D017725
C0158570,D054079
C0206229,D017758
C0206242,D017769
C0206245,D028227
C0206275,D017805
C0206306,D017823
C0206308,D017831
C0206368,D017889
C0206606,D018175
C0206607,D018176
C0206609,D018178
C0206307,D017825
C0206369,D017890
C0206525,D018088
C0206602,D018173
C0206604,D018174
C0206615,D018186
C0206617,D018188
C0206586,D018159
C0206603,D018173
C0206608,D018177
C0206620,D018191
C0206622,D018194
C0206625,D018198
C0158667,C562407
C0158850,D048070
C0206629,D018202
C0158940,D059245
C0206624,D018197
C0206634,D018208
C0206637,D018211
C0206641,D018216
C0206643,D018218
C0206645,D018220
C0206654,D018231
C0206628,D018201
C0206631,D018205
C0206647,D018223
C0206651,D018227
C0206653,D018229
C0206655,D018232
C0206635,D018209
C0206639,D018213
C0206642,D018217
C0206644,D018219
C0206648,D018224
C0206650,D018226
C0206652,D018228
C0162309,D000326
C0162359,D053358
C0162361,D004476
C0162375,D006101
C0162429,D044342
C0162500,D016113
C0206656,D018233
C0206663,D018242
C0206666,D018245
C0162532,D046350
C0162538,D017098
C0162549,D017109
C0206659,D018236
C0206661,D018238
C0206664,D018243
C0206669,D018248
C0206673,D018252
C0206681,D018262
C0206682,D018263
C0206694,D018277
C0206696,D018279
C0206667,D018246
C0162576,D017129
C0162623,D017188
C0162628,D017193
C0162631,D017196
C0206671,D018250
C0206676,D018255
C0206677,D018256
C0206680,D018261
C0206685,D018267
C0206687,D018269
C0206692,D018275
C0206695,D018278
C0206699,D018282
C0206700,D018283
C0162668,D017240
C0162679,D017254
C0162817,D017443
C0162820,D017449
C0162836,D017497
C0206702,D018285
C0206710,D018295
C0206711,D018296
C0206712,D018298
C0162850,D017514
C0162851,D017514
C0162855,D017520
C0162870,D017543
C0175166,D017437
C0175683,D020159
C0206701,D018284
C0206709,D018293
C0206674,D018253
C0206675,D018254
C0175692,C535880
C0175695,D058495
C0175697,C536528
C0206716,D018303
C0206718,D018305
C0206721,D018308
C0206686,D018268
C0206698,D018281
C0206725,D018315
C0206720,D018307
C0206703,D018286
C0206704,D018287
C0206717,D018304
C0175704,D044542
C0175707,D059446
C0206729,D018319
C0206734,D018325
C0206737,D018330
C0206739,D018332
C0206740,D018333
C0206753,D018355
C0206754,D018358
C0206726,D018316
C0206730,D018321
C0206719,D018306
C0206723,D018310
C0206733,D018324
C0206738,D018331
C0206746,D018347
C0206750,D018352
C0206766,D018294
C0206769,D018326
C0206767,D018297
C0206768,D018299
C0220636,D012468
C0206727,D018317
C0206728,D018318
C0220650,D001932
C0206731,D018322
C0206735,D018328
C0206736,D018329
C0178540,D020925
C0178824,D006940
C0206743,D018335
C0206744,D018344
C0206751,D018353
C0206762,D017880
C0206765,D018204
C0220597,D006689
C0205641,D000230
C0205642,D000230
C0205645,D000230
C0205648,D000236
C0205699,D002277
C0205721,D003428
C0220660,C562417
C0220668,C536211
C0220681,D006053
C0220654,D055756
C0220687,C537015
C0220662,C535378
C0205768,D001254
C0205770,D020288
C0205823,D008067
C0205874,D010212
C0205882,D010322
C0205929,D012003
C0205944,D012509
C0205969,D013945
C0206062,D017563
C0206076,D017584
C0220693,C537323
C0220695,C537392
C0220663,C562419
C0220664,C562420
C0206083,D017590
C0206085,D017593
C0220685,C536017
C0220692,C536036
C0220697,C562429
C0220726,C536170
C0220679,C562424
C0220686,C535332
C0206141,D017681
C0206145,D017682
C0206151,D017688
C0206172,D017719
C0206182,D017731
C0206226,D017757
C0206227,D017757
C0206228,D017757
C0206231,D017760
C0206366,D017887
C0206526,D018088
C0220710,C536038
C0206554,D018126
C0206611,D018182
C0206613,D018184
C0206614,D018185
C0220744,C562441
C0220765,C562443
C0220722,C562434
C0220738,C562438
C0220742,C537632
C0220752,C562442
C0206627,D018200
C0220756,D052556
C0206630,D018203
C0206632,D018206
C0206633,D018207
C0206636,D018210
C0206638,D018212
C0220775,C562446
C0220797,Q000473
C0220982,D007662
C0206640,D018214
C0206646,D018221
C0206649,D018225
C0220767,C536456
C0220810,Q000002
C0206657,D018234
C0206658,D018235
C0206660,D018237
C0206672,D018251
C0206683,D018265
C0206684,D018266
C0206697,D018280
C0221032,D052497
C0206713,D018300
C0206715,D018302
C0221009,D013901
C0221011,D054853
C0221025,D059885
C0221046,D013575
C0221054,D049310
C0221061,C537669
C0221065,D052879
C0221074,D019052
C0221043,D056929
C0221002,D049950
C0206722,D018309
C0206724,D018312
C0221169,D020820
C0221057,D013786
C0221207,D000096703
C0221060,D020331
C0221259,D058457
C0221263,D019080
C0221269,D019310
C0221069,D020759
C0221123,D065227
C0221155,D000092244
C0221026,C537409
C0206752,D018354
C0206764,D018193
C0214776,C080432
C0220633,D000098943
C0220658,D000168
C0220659,C538179
C0221055,D020967
C0221058,D060486
C0221348,D056684
C0221392,D059268
C0221184,D006423
C0221210,C562456
C0221356,D003398
C0220666,C537288
C0221409,C536356
C0221215,C535974
C0221244,D063807
C0221363,C535441
C0220669,D020936
C0221759,D020968
C0221353,D000069337
C0221390,D059905
C0221473,D001766
C0231341,D019588
C0220690,C537717
C0220704,D004062
C0231311,D020179
C0231528,D063806
C0231691,D020234
C0231698,D020233
C0231519,D009127
C0227791,D019522
C0231693,D020233
C0231695,D020233
C0231337,D000375
C0220724,C531614
C0220730,C538070
C0220743,C562440
C0220748,C535916
C0220754,D028921
C0220761,D000080534
C0220769,C537923
C0220870,D004244
C0220977,D006660
C0220989,C562448
C0220991,D006933
C0220992,C538320
C0232347,D054318
C0232100,D058734
C0233256,D007746
C0231521,D003655
C0232255,D006337
C0232257,D054160
C0231688,D020233
C0231689,D020233
C0231696,D020233
C0231712,D020233
C0221013,D034721
C0233612,D002375
C0221023,C536227
C0233767,D006212
C0233771,D014786
C0233774,D006212
C0233775,D006212
C0221033,C535318
C0221036,C538178
C0232262,D006337
C0221163,D000068079
C0221166,D020335
C0221227,D011656
C0233794,D008569
C0221243,D058568
C0221271,C536202
C0221355,D058627
C0221357,D059327
C0221386,C536136
C0221406,D047748
C0232910,D064793
C0234238,D010146
C0221757,D019896
C0232984,D047649
C0234298,D013651
C0234300,D013651
C0234305,D013651
C0234370,D014202
C0234371,D014202
C0234375,D014202
C0232480,D010842
C0233523,D000987
C0234378,D014202
C0234447,D053608
C0234462,D001037
C0234469,D001037
C0234484,D001037
C0233652,C000726587
C0233697,D009770
C0233726,D013064
C0233759,D006212
C0233766,D006212
C0233769,D014786
C0233776,D006212
C0234047,D000097910
C0232766,D020820
C0234162,D002524
C0234166,D000071017
C0234190,D006987
C0234230,D010146
C0234245,D059265
C0234299,D013651
C0234331,D020421
C0234377,D014202
C0234379,D014202
C0234506,D000377
C0234511,D000377
C0234523,D020240
C0234526,D001072
C0234622,D058453
C0234435,D013575
C0231474,D003655
C0234784,D012021
C0231666,D020425
C0231686,D020233
C0231694,D020233
C0234974,D004828
C0235031,D009461
C0235044,D010292
C0235063,D012131
C0231835,D059246
C0235242,D013575
C0235280,D000081015
C0235347,C538420
C0235430,D007662
C0234474,D001037
C0234476,D001037
C0234502,D000377
C0234509,D000377
C0234527,D001072
C0232488,D003085
C0235833,D065630
C0235843,D014202
C0235864,C538389
C0236001,D005889
C0234906,C562461
C0234996,D020233
C0235000,D020233
C0235068,D012607
C0235083,D014202
C0235146,D005059
C0235193,D064348
C0236642,D020774
C0232981,C536875
C0235744,D062485
C0233283,D001946
C0233286,D001946
C0236733,D019969
C0236736,D019970
C0233407,D003221
C0233565,D018476
C0233608,D009127
C0235804,D011681
C0235880,D020422
C0233701,C000719188
C0233705,C000719212
C0233706,C000719201
C0233754,D003861
C0233762,D006212
C0233711,C000719220
C0233765,D006212
C0235986,C531600
C0236026,C536525
C0236048,C562464
C0233763,D006212
C0233778,D000080311
C0233796,D000647
C0236792,D020817
C0236795,D000647
C0236801,C562465
C0236969,D019966
C0237065,D060725
C0237123,D019966
C0237659,D007088
C0238015,D020211
C0236807,D019969
C0236818,D009155
C0236964,D019958
C0237154,D006703
C0237167,D003144
C0234247,D009437
C0234249,D009437
C0233773,D006212
C0233795,D020324
C0234297,D013651
C0234304,D013651
C0234306,D013651
C0234319,D013651
C0234329,D020421
C0234372,D014202
C0234374,D014202
C0234455,D020447
C0234471,D018886
C0234472,D001037
C0234482,D001037
C0234505,D000377
C0234510,D000377
C0234144,D000381
C0234244,D059226
C0234250,D053591
C0234302,D013651
C0234303,D013651
C0235026,D009443
C0237873,D012735
C0238027,D001906
C0238056,D002819
C0234357,D002524
C0234362,D046608
C0234373,D014202
C0234376,D014202
C0234381,D014202
C0234473,D001041
C0234477,D009155
C0234503,D000377
C0234504,D000377
C0234507,D000377
C0234512,D020238
C0234529,D001072
C0234535,D012640
C0234544,D010243
C0234616,C000721352
C0238075,D020802
C0238093,C535720
C0238115,C536571
C0238122,D005185
C0238198,D046152
C0238286,D009081
C0238288,D020391
C0238376,D011007
C0235066,D012607
C0235078,D014202
C0235229,D013035
C0235245,C000726809
C0238434,D020802
C0238461,D065646
C0234757,D014717
C0234985,D060825
C0238052,D019294
C0238067,D046729
C0239602,C000721267
C0239777,D003117
C0235013,D001007
C0238265,D054319
C0238276,C531641
C0240444,D009264
C0240595,D009759
C0238339,C537262
C0238344,C562469
C0238358,D020514
C0238419,D018934
C0238478,C536980
C0241144,D011693
C0235025,D009443
C0235081,D014202
C0235082,D014202
C0235153,D006212
C0241889,D008487
C0241910,D019693
C0241913,C562477
C0242217,D002805
C0242337,D006800
C0235527,D006333
C0235660,C537072
C0235752,D019339
C0235761,D061270
C0235585,C538171
C0242339,D050171
C0242342,D007018
C0242354,D009358
C0242385,D008310
C0242422,D020734
C0242426,D010490
C0242453,D053448
C0242513,D013614
C0242528,D053099
C0242552,D015441
C0242647,D018442
C0242666,D018455
C0239137,D060906
C0235874,D018450
C0242706,D018496
C0242785,D018565
C0242830,D018601
C0242843,D018614
C0242855,D018633
C0242916,D018701
C0242941,D018716
C0242942,D018716
C0242966,D018746
C0242973,D018754
C0243001,D018784
C0243010,D018792
C0243082,Q000150
C0243083,Q000150
C0243085,Q000150
C0243087,Q000150
C0236018,D004827
C0239548,D005207
C0259813,D013575
C0236664,D019973
C0239849,D017490
C0239946,D008103
C0240066,D000090463
C0262497,D000647
C0262587,D010282
C0262935,D020766
C0236735,D002189
C0236742,D010623
C0236788,D001714
C0236804,D019969
C0236811,D021081
C0236816,D040701
C0236828,D001184
C0236970,D020751
C0263334,D000094482
C0263338,D000080223
C0263352,C537169
C0240682,D059388
C0240912,D005413
C0263382,C538130
C0263409,D012594
C0237326,D003248
C0237020,C562731
C0237827,D000091743
C0238033,D018567
C0241137,D010167
C0238045,D020216
C0238051,D020293
C0238065,D008105
C0238096,D019320
C0241210,D007805
C0238117,D005058
C0238154,D006407
C0263442,D000069316
C0238161,C537254
C0238190,D018979
C0238281,D020244
C0263477,D000505
C0238357,D020513
C0238395,D058490
C0238402,D058631
C0238454,D020226
C0238462,C536914
C0238463,D000077273
C0241426,D005926
C0241772,D012021
C0239325,D009127
C0239981,D034141
C0240302,D014313
C0240327,D013651
C0241832,D002561
C0241901,C538171
C0241908,C562476
C0241934,D000087122
C0242013,D020426
C0242032,D010195
C0242038,D009494
C0242184,D000860
C0238378,C562470
C0238394,D058489
C0263506,C562486
C0263591,C000730515
C0238442,D046548
C0238451,C562472
C0238495,D064749
C0242129,D000083244
C0242183,D007565
C0242205,D001942
C0242216,D042882
C0263610,D000092130
C0242310,D006362
C0242341,D050035
C0242379,D008175
C0242596,D018365
C0242634,D018419
C0242648,D018445
C0242656,D018450
C0242698,D018487
C0242699,D018488
C0242700,D018489
C0242770,D018549
C0242788,D018567
C0242875,D018658
C0242943,D018716
C0242979,D018763
C0243057,D018640
C0259771,D062685
C0259779,D005357
C0259785,D008579
C0242338,D006800
C0242343,C580003
C0242350,D007172
C0242420,D010211
C0242459,D011657
C0242461,D011695
C0242490,D000070676
C0242606,D018384
C0242644,D018437
C0242645,D018438
C0242649,D018562
C0242670,D018458
C0242676,D018467
C0242684,D018476
C0242707,D018497
C0242786,D018566
C0242917,D018702
C0242993,D006480
C0242994,D018778
C0242997,D018783
C0243000,D018783
C0262436,C535576
C0262564,D056988
C0262565,D056988
C0262627,D049291
C0243002,D018785
C0243025,D018804
C0243038,D018827
C0243050,D018376
C0243102,Q000201
C0251144,C085477
C0259737,C000656784
C0260000,D064210
C0240903,D056653
C0240952,D004401
C0240991,D001259
C0262534,D059466
C0264393,D011656
C0241700,D014832
C0263314,C535551
C0263313,D010392
C0242036,D010264
C0263386,C538175
C0263398,C535509
C0263402,C000715747
C0263372,D000169
C0263390,D053718
C0263429,C537412
C0263420,C538377
C0263487,C536558
C0242172,D000292
C0242231,D023921
C0242263,D004522
C0263491,C562485
C0263505,C537055
C0242287,D020386
C0242292,D005359
C0242301,D005667
C0242363,D007516
C0242380,D008180
C0242381,D008193
C0263536,D009264
C0264600,D014832
C0242383,D008268
C0242387,D008342
C0242404,D009379
C0242407,D009449
C0242423,D020734
C0242429,D010612
C0242514,D054139
C0242526,D014424
C0242551,D015441
C0242567,D015835
C0242583,D016511
C0242594,D018365
C0242597,D018370
C0242635,D018420
C0263454,D054506
C0263482,C562484
C0264700,D056989
C0264746,D020150
C0263537,D009264
C0263907,D002062
C0264162,C537968
C0242669,D018457
C0242723,D018512
C0242771,D018550
C0242781,D018562
C0242852,D018630
C0242992,D018777
C0242998,D018783
C0243088,Q000150
C0262469,D000083262
C0262584,D018288
C0262988,D017445
C0264956,D058226
C0264995,D001157
C0263325,C537306
C0263383,C537412
C0263385,C566832
C0264358,D001987
C0263637,C536366
C0264510,D011017
C0264515,D000071067
C0264558,D011030
C0264573,C536136
C0264598,D001044
C0264611,D001072
C0265103,D014715
C0263428,C537412
C0263449,D019557
C0263471,C562483
C0263666,D003882
C0264886,D000075224
C0264964,D000094622
C0263489,C537187
C0265097,D014715
C0265110,D020301
C0265201,C535992
C0265205,C562492
C0265216,C536078
C0265220,D054975
C0263859,D020083
C0265233,D058497
C0265234,D019280
C0265246,C536974
C0265248,C579395
C0265211,C536026
C0263984,D017285
C0264080,C537700
C0264005,C562487
C0264081,C537144
C0264134,D020859
C0264099,C535636
C0264122,D020966
C0264303,D055092
C0265221,D058494
C0265226,C535857
C0264360,D001987
C0264353,D055091
C0264383,D000092124
C0265227,C536632
C0265239,C535326
C0264395,D019568
C0264423,D059366
C0264499,D001261
C0264599,D001044
C0265242,C562503
C0264628,D009155
C0265245,C538184
C0264939,D056647
C0265210,C536687
C0265235,C536025
C0265249,C537444
C0265251,C536065
C0265257,C537680
C0264588,D055154
C0264609,D055154
C0265261,C537377
C0265263,C537916
C0265264,C535326
C0265269,C538132
C0264897,D058606
C0265260,C537915
C0265219,D054221
C0265222,D011218
C0265267,C562515
C0265223,C536438
C0265224,C535483
C0265240,D006053
C0265252,D038921
C0265265,C538442
C0265273,C536015
C0265275,C537571
C0265283,C535396
C0265292,C537519
C0265280,C535797
C0265281,C537356
C0265274,C536016
C0265286,C535726
C0265291,C537021
C0265293,C538064
C0265295,C537564
C0265306,C537300
C0265329,D054000
C0265303,C537287
C0265309,C537119
C0265336,C536168
C0265325,C536928
C0265328,C537052
C0265333,C536549
C0265338,C536436
C0265342,C562538
C0265345,C537710
C0265425,C538025
C0265449,C538105
C0265344,D056731
C0265354,D058747
C0265357,D059446
C0265363,C536477
C0265482,C580424
C0265372,C537922
C0265373,C537798
C0265407,C537636
C0265412,C537810
C0265451,C535484
C0265479,C535372
C0265294,C536252
C0265301,C537525
C0265308,C536788
C0265316,D020752
C0265319,D014402
C0265279,C537207
C0265282,C562524
C0265287,C535662
C0265289,C537352
C0265313,D056846
C0265321,C536752
C0265326,D006223
C0265339,C536575
C0265343,C537565
C0265493,C535918
C0265499,D007713
C0265401,C537635
C0265428,C538026
C0265496,C536502
C0265553,D013576
C0265554,C574275
C0265514,C537415
C0265534,D003398
C0265699,D065630
C0265700,D065630
C0265334,D053549
C0265552,C562546
C0265559,C536014
C0265761,D059608
C0265780,C562992
C0265349,C535724
C0265374,C536683
C0265857,C536932
C0265883,D000073872
C0265633,C535563
C0265642,D004863
C0265645,D000070558
C0265649,D050488
C0265654,D000070604
C0265666,C000721292
C0265404,C537639
C0265961,D056266
C0265740,C537438
C0265490,C536799
C0265497,C535319
C0265529,D059041
C0265535,D003398
C0265541,D009421
C0265931,D000083402
C0265965,D019871
C0265970,D017499
C0265971,D007644
C0265985,D049328
C0266011,C562557
C0266035,C000723629
C0266061,D024343
C0265998,C536377
C0266172,C538260
C0266000,C537260
C0266004,C537210
C0266006,C537633
C0265964,C536457
C0265646,D000070558
C0266159,C562561
C0265706,D020139
C0266175,D007409
C0266177,C536139
C0266268,C536003
C0266270,D000092142
C0266283,D050033
C0265767,C000715347
C0266294,D000075529
C0266190,C562562
C0266251,C562564
C0265797,C535735
C0266284,D046151
C0266305,D000069337
C0266313,C537048
C0266383,C562565
C0266463,D054082
C0266487,D009069
C0266432,C562567
C0266453,D009436
C0266470,C562568
C0266494,D020779
C0266548,C535679
C0266684,D000098987
C0266015,D004065
C0266039,C536946
C0266642,D059446
C0266765,D010921
C0266999,D054243
C0266836,D003085
C0266919,D005882
C0266174,C535720
C0266200,C562563
C0267026,C535669
C0267071,D003680
C0266427,C537770
C0267494,D059269
C0266468,C580383
C0266361,D050090
C0266362,D012734
C0266481,C535966
C0266483,D054082
C0266484,D065707
C0266508,D016135
C0266526,C537849
C0267537,D053706
C0266393,D000093642
C0266401,D000093665
C0266568,D054514
C0267809,C562577
C0266464,D065706
C0266476,D006849
C0267878,D057792
C0267963,D010188
C0266521,C535908
C0267048,D065710
C0267662,C536210
C0266647,D000013
C0266667,C562573
C0267725,D006551
C0268063,C537904
C0268080,C562581
C0268117,C562583
C0268120,C538228
C0268126,C538235
C0266766,D010921
C0268131,C562589
C0268134,D049914
C0268136,C562590
C0266833,C562574
C0267211,D020252
C0267830,D046290
C0266929,D055113
C0267412,D065666
C0268149,C536176
C0268155,D005693
C0267034,C535921
C0267941,D019283
C0268162,C536652
C0268165,C536415
C0268181,C562601
C0267072,D003680
C0267154,C535952
C0268074,C562580
C0267211,C538665
C0267716,D000069290
C0267841,D042101
C0267954,D010195
C0268194,C536654
C0268221,D005645
C0268226,D009081
C0268237,D030401
C0267539,D053706
C0268059,C536394
C0268060,C537247
C0268242,D052536
C0268118,C562584
C0268247,D052556
C0268262,C562609
C0267770,D015436
C0267792,D004066
C0267892,C535869
C0267898,D007412
C0268275,D049290
C0268296,C537805
C0267940,D000081032
C0268130,C537136
C0268342,C536198
C0268140,C562592
C0268141,C562593
C0268146,C562594
C0268147,C580130
C0268354,C535990
C0268095,C536166
C0268138,C562591
C0268151,D005693
C0268119,C535811
C0268124,C531816
C0268164,C536414
C0268179,C562600
C0268186,C562602
C0268187,C562603
C0268228,C537366
C0268160,C538068
C0268193,C537841
C0268222,D005645
C0268225,D054880
C0268232,C562606
C0268252,D007965
C0268233,C536411
C0268255,D055577
C0268238,C536560
C0268243,D052537
C0268248,D052537
C0268250,D005776
C0268251,D005776
C0268272,D016537
C0268285,C538237
C0268363,C000631847
C0268274,D020143
C0268297,C535830
C0268301,D013734
C0268384,D028227
C0268263,D052517
C0268271,D016537
C0268273,D016537
C0268397,C562642
C0268281,D009472
C0268292,C535978
C0268293,C537806
C0268328,C562618
C0268344,C536192
C0268314,C535330
C0268318,C535932
C0268350,C562627
C0268353,C537860
C0268355,C562632
C0268416,C562649
C0268385,D028227
C0268399,C562644
C0268336,C536195
C0268412,C562646
C0268335,C536194
C0268337,C536196
C0268347,C562626
C0268351,C562628
C0268358,C536042
C0268419,D020642
C0268425,D056769
C0268444,C562654
C0268435,D000141
C0268338,D000094623
C0268365,C531742
C0268368,C562637
C0268465,D010661
C0268467,C562656
C0268341,C536197
C0268381,D000075363
C0268389,C538249
C0268390,D056587
C0268450,D053579
C0268474,C536081
C0268349,C535884
C0268418,C000721294
C0268486,D020176
C0268487,D020176
C0268495,C537730
C0268505,C562664
C0268357,C536041
C0268484,C562659
C0268443,D018500
C0268494,C537728
C0268362,C536044
C0268468,C562657
C0268478,C536239
C0268479,C535329
C0268524,C536836
C0268542,D020163
C0268371,C562638
C0268374,C562639
C0268379,C537417
C0268386,D028227
C0268536,C562670
C0268490,D020176
C0268501,C562663
C0268547,D056807
C0268393,D028243
C0268398,C562643
C0268410,C562645
C0268413,C562647
C0268514,C536479
C0268414,C537701
C0268423,C562651
C0268426,C535874
C0268436,D011546
C0268445,D010245
C0268560,C562672
C0268448,C537153
C0268451,C535709
C0268525,C535322
C0268575,C538167
C0268579,D056693
C0268473,C562658
C0268531,C562669
C0268581,D028922
C0268603,C562678
C0268556,D020167
C0268573,C536524
C0268574,C562674
C0268543,C536109
C0268548,D020162
C0268583,C537358
C0268596,D054069
C0268532,D056732
C0268540,C538380
C0268622,C562682
C0268553,D020167
C0268561,D020158
C0268568,D008375
C0268680,C531633
C0268742,D015432
C0268632,C535328
C0268642,C538321
C0268647,C562687
C0268611,C537426
C0268621,C564683
C0268842,D007412
C0268654,C536285
C0268555,D020167
C0268562,D020158
C0268624,C538141
C0268626,C562683
C0268631,C535803
C0268563,C537236
C0268569,D008375
C0269084,D054515
C0268743,D015432
C0268747,C537346
C0269102,D004715
C0268595,C536833
C0268813,C548013
C0269185,D060725
C0268600,C535308
C0268601,C538324
C0269680,C535817
C0269734,D060725
C0268609,C537425
C0269886,D019687
C0268616,C535408
C0269286,D065173
C0269852,D055949
C0268623,D020176
C0270210,C562692
C0270224,D013746
C0268630,C562684
C0270549,D000098647
C0269899,D006473
C0269936,D011645
C0268643,C531664
C0268689,C562688
C0270697,D051299
C0270192,D013345
C0268849,D053201
C0270707,D020232
C0270715,D019636
C0270733,D020955
C0270736,D020329
C0270742,D002547
C0270749,D013132
C0270755,D013132
C0270612,D056784
C0269050,D004716
C0270629,D020802
C0270638,D020226
C0270720,D006849
C0270786,D015140
C0270795,D010291
C0270844,D012640
C0270851,D020936
C0270853,D020190
C0270869,D020433
C0269291,D063192
C0270327,D053206
C0270328,D053207
C0270858,D008881
C0270860,D020325
C0270877,D005155
C0270896,D020516
C0270912,D002607
C0270913,C537984
C0270932,D020364
C0270948,D009133
C0270952,D039141
C0270541,D007319
C0271134,D011681
C0271178,D008269
C0271185,D014786
C0271240,D001766
C0270914,D002607
C0271270,D055952
C0271347,D000096826
C0271373,D020526
C0271384,D009759
C0271385,D009759
C0271387,D009759
C0271390,D009760
C0271397,D015835
C0270709,C535878
C0270724,D019150
C0270763,D016472
C0270790,D011782
C0270807,D002547
C0270820,D004828
C0270823,D013226
C0270831,D020937
C0270847,D004828
C0270871,D005155
C0270876,D005155
C0270887,C000630779
C0270911,D002607
C0271527,D011629
C0271556,C537072
C0270958,C537211
C0270968,C535897
C0270959,D009224
C0271673,D003929
C0271676,D011128
C0271097,D052245
C0271130,C562700
C0271148,D005902
C0271196,D012607
C0271200,D012607
C0271680,D003929
C0271686,D003929
C0271202,D006423
C0271208,D006423
C0271257,C562701
C0269825,D000080883
C0271371,D015840
C0271380,D015835
C0271383,D009759
C0270972,D003635
C0271051,D008269
C0271574,D004652
C0271575,C562705
C0271708,D007003
